seed init_t final_score
10 30 57.3877
10 2 58.2785
10 0.1 59.7444
10 200 59.0997
10 800 58.8222
20 30 57.4095
20 2 57.6217
20 0.1 60.6891
20 200 58.3103
20 800 58.2523
88 30 58.6734
88 2 58.4613
88 0.1 59.1249
88 200 58.0571
88 800 58.6326
35 30 57.9464
35 2 57.992
35 0.1 57.4544
35 200 55.6842
35 800 58.4163
66 30 59.9006
66 2 58.4044
66 0.1 58.503
66 200 59.5561
66 800 58.4207

